x,Pdis
-28.745712976142226,-6.812445099177812
-27.745712976142226,-6.16581793425276
-26.745712976142226,-6.214608098422191
-25.745712976142226,-7.824046010856292
-24.745712976142226,-9.210340371976182
-23.745712976142226,
-22.745712976142226,
-21.745712976142226,
-20.745712976142226,
-19.745712976142226,
-18.745712976142226,
-17.745712976142226,
-16.745712976142226,
-15.745712976142226,
-14.745712976142226,
-13.745712976142226,
-12.745712976142226,
-11.745712976142226,
-10.745712976142226,
-9.745712976142226,
-8.745712976142226,
-7.745712976142226,-8.517193191416238
-6.745712976142226,-8.111728083308073
-5.745712976142226,-8.111728083308073
-4.745712976142226,-5.843044541989709
-3.745712976142226,-3.83970234384852
-2.745712976142226,-0.8099057411701409
-1.7457129761422259,-0.649513143539884
-0.7457129761422259,-6.2659013928097425
